topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency,sa,average_latency
hoplite_1,64,11,local,65536,65536,9089,11,1,1,1,1,856,.28746573238713463160,289.10557556152343750000
hoplite_1,64,12,local,65536,65536,8442,12,1,1,1,1,1079,.31722834241490957908,341.93865966796875000000
hoplite_1,64,13,local,65536,65536,7948,13,1,1,1,1,1268,.34136273800536822680,389.10980224609375000000
hoplite_1,64,14,local,65536,65536,7607,14,1,1,1,1,1219,.36424852657639893080,451.63391113281250000000
hoplite_1,64,15,local,65536,65536,7301,15,1,1,1,1,1402,.38278931539058576450,505.62948608398437500000
hoplite_1,64,16,local,65536,65536,7064,16,1,1,1,1,1414,.40141474377123442808,575.02635192871093750000
hoplite_1,64,17,local,65536,65536,6887,17,1,1,1,1,1468,.41550278907119694109,625.96774291992187500000
hoplite_1,64,18,local,65536,65536,6717,18,1,1,1,1,1704,.43284995161530445139,708.64074707031250000000
hoplite_1,64,19,local,65536,65536,6653,19,1,1,1,1,1799,.43888017310486497319,770.37573242187500000000
hoplite_1,64,20,local,65536,65536,6492,20,1,1,1,1,1809,.45392807172930786609,835.07908630371093750000
hoplite_1,64,21,local,65536,65536,6442,21,1,1,1,1,1956,.45829210002069750595,901.47976684570312500000
hoplite_1,64,22,local,65536,65536,6315,22,1,1,1,1,2174,.46902299419371865927,943.66516113281250000000
hoplite_1,64,23,local,65536,65536,6267,23,1,1,1,1,2145,.47613989947343226424,1013.47911071777343750000
hoplite_1,64,24,local,65536,65536,6228,24,1,1,1,1,2262,.48156176407621494326,1082.82769775390625000000
hoplite_1,64,25,local,65536,65536,6228,25,1,1,1,1,2396,.48270579105116677371,1121.14990234375000000000
hoplite_1,64,26,local,65536,65536,6138,26,1,1,1,1,2537,.48784552514391224068,1160.39205932617187500000
hoplite_1,64,27,local,65536,65536,6165,27,1,1,1,1,2533,.48899111246282779129,1211.94560241699218750000
hoplite_1,64,28,local,65536,65536,6073,28,1,1,1,1,2643,.49466559635545309841,1246.93284606933593750000
hoplite_1,64,29,local,65536,65536,6054,29,1,1,1,1,2785,.49493189764343134016,1299.35267639160156250000
