topo,n,rate,pat,sent,recv,time_taken,injection_rate,sustained_rate,if_worst_latency,queue_cumu_worst_latency,sum_queueing,worst_total_latency
ld_MESH1,16,60,random,16384,16384,2176,.600,.470,102,515,3370056,544
ld_MESH1,16,70,random,16384,16384,2129,.700,.480,102,718,5170983,762
ld_MESH1,16,80,random,16384,16384,2178,.800,.470,80,892,6785078,916
ld_MESH1,16,90,random,16384,16384,2156,.900,.474,108,1025,8114707,1052
ld_MESH1,16,100,random,16384,16384,2217,1.000,.461,86,1187,9179340,1209
CMU,16,10,local,16384,16384,10716,.100,.095,8,8,0
CMU,16,20,local,16384,16384,5409,.200,.189,9,9,0
CMU,16,30,local,16384,16384,3605,.300,.284,11,11,0
CMU,16,40,local,16384,16384,2643,.400,.387,12,12,0
CMU,16,50,local,16384,16384,2106,.500,.486,15,15,0
CMU,16,60,local,16384,16384,1752,.600,.584,19,19,277
CMU,16,70,local,16384,16384,1510,.700,.678,31,56,25706
CMU,16,80,local,16384,16384,1493,.800,.685,58,255,381969
CMU,16,90,local,16384,16384,1512,.900,.677,102,393,1332999
CMU,16,100,local,16384,16384,1524,1.000,.671,84,501,2266322
CMU,16,10,random,16384,16384,10716,.100,.095,10,10,0
CMU,16,20,random,16384,16384,5411,.200,.189,14,14,0
CMU,16,30,random,16384,16384,3605,.300,.284,13,13,0
CMU,16,40,random,16384,16384,2643,.400,.387,16,16,0
CMU,16,50,random,16384,16384,2109,.500,.485,21,21,1
CMU,16,60,random,16384,16384,1752,.600,.584,32,32,266
CMU,16,70,random,16384,16384,1531,.700,.668,54,123,165525
CMU,16,80,random,16384,16384,1588,.800,.644,68,369,1385862
CMU,16,90,random,16384,16384,1602,.900,.639,59,503,2589599
CMU,16,100,random,16384,16384,1575,1.000,.650,57,561,3411133
IC,16,10,random,16384,16383,10773,.100,.095,90,6,358,90
IC,16,20,random,16384,16383,5567,.200,.183,45,301,79315,327
IC,16,30,random,16384,16382,5602,.300,.182,45,2987,4304295,2996
IC,16,40,random,16384,16382,5598,.400,.182,30,3349,6580241,3353
IC,16,50,random,16384,16382,5598,.500,.182,30,3603,8191675,3607
IC,16,60,random,16384,16382,5598,.600,.182,30,3895,10689624,3899
IC,16,70,random,16384,16382,5598,.700,.182,30,4138,12725283,4142
IC,16,80,random,16384,16382,5598,.800,.182,30,4327,14249072,4329
IC,16,90,random,16384,16382,5598,.900,.182,30,4462,15453175,4464
IC,16,100,random,16384,16382,5598,1.000,.182,30,4574,16346849,4576
IC,16,10,local,16384,16383,10773,.100,.095,88,3,258,88
IC,16,20,local,16384,16383,5567,.200,.183,44,4,1157,44
IC,16,30,local,16384,16382,3596,.300,.284,33,10,4256,33
IC,16,40,local,16384,16383,2673,.400,.383,23,19,18198,23
IC,16,50,local,16384,16382,2159,.500,.474,18,110,340839,118
IC,16,60,local,16384,16384,2054,.600,.498,5,384,2743728,388
IC,16,70,local,16384,16384,2053,.700,.498,5,615,4778345,619
IC,16,80,local,16384,16384,2053,.800,.498,5,788,6302134,792
IC,16,90,local,16384,16384,2053,.900,.498,5,931,7506237,935
IC,16,100,local,16384,16384,2053,1.000,.498,5,1025,8399911,1029
hoplite_0,4,100,add20,2941,2941,851,100,1,1,1,1,10
hoplite_0,4,100,amazon,280248,280248,74215,100,1,1,1,1,13
hoplite_0,4,100,bomhof1,5161,5161,2589,100,1,1,1,1,1141
hoplite_0,4,100,bomhof2,6206,6206,2311,100,1,1,1,1,162
hoplite_0,4,100,bomhof3,13837,13837,3800,100,1,1,1,1,90
hoplite_0,4,100,google,729996,729996,197751,100,1,1,1,1,7
hoplite_0,4,100,hamm,23838,23838,9044,100,1,1,1,1,1387
hoplite_0,4,100,human,44304,44304,19455,100,1,1,1,1,37
hoplite_0,4,100,roadnet,1485468,1485468,380888,100,1,1,1,1,3
hoplite_0,4,100,dac,1324,1324,685,100,1,1,1,1,183
hoplite_0,4,100,ram2k,8905,8905,4837,100,1,1,1,1,2434
hoplite_0,4,100,soc,160167,160167,91879,100,1,1,1,1,1428
hoplite_0,4,100,stanford,263570,263570,69738,100,1,1,1,1,5
hoplite_0,4,100,wiki,6288,6288,3248,100,1,1,1,1,20
hoplite_1,4,100,add20,2941,2941,836,100,1,1,1,1,12
hoplite_1,4,100,amazon,280248,280248,73874,100,1,1,1,1,17
hoplite_1,4,100,bomhof1,5161,5161,2570,100,1,1,1,1,1406
hoplite_1,4,100,bomhof2,6206,6206,2130,100,1,1,1,1,135
hoplite_1,4,100,bomhof3,13837,13837,3779,100,1,1,1,1,82
hoplite_1,4,100,google,729996,729996,197715,100,1,1,1,1,6
hoplite_1,4,100,hamm,23838,23838,8844,100,1,1,1,1,1383
hoplite_1,4,100,human,44304,44304,17723,100,1,1,1,1,34
hoplite_1,4,100,roadnet,1485468,1485468,380888,100,1,1,1,1,3
hoplite_1,4,100,dac,1324,1324,678,100,1,1,1,1,153
hoplite_1,4,100,ram2k,8905,8905,4800,100,1,1,1,1,2436
hoplite_1,4,100,soc,160167,160167,88303,100,1,1,1,1,1359
hoplite_1,4,100,stanford,263570,263570,69737,100,1,1,1,1,4
hoplite_1,4,100,wiki,6288,6288,3041,100,1,1,1,1,25
hoplite_0,9,100,add20,3587,3587,930,100,1,1,1,1,75
hoplite_0,9,100,amazon,292509,292509,38383,100,1,1,1,1,35
hoplite_0,9,100,bomhof1,8056,8056,4166,100,1,1,1,1,2015
hoplite_0,9,100,bomhof2,6732,6732,1776,100,1,1,1,1,364
hoplite_0,9,100,bomhof3,14770,14770,2858,100,1,1,1,1,341
hoplite_0,9,100,google,0,0,,100,1,1,1,1,
hoplite_0,9,100,hamm,25672,25672,9382,100,1,1,1,1,3932
hoplite_0,9,100,human,0,0,,100,1,1,1,1,
hoplite_0,9,100,roadnet,1485914,1485914,171947,100,1,1,1,1,6
hoplite_0,9,100,dac,1539,1539,711,100,1,1,1,1,414
hoplite_0,9,100,ram2k,14057,14057,8587,100,1,1,1,1,5973
hoplite_0,9,100,soc,0,0,,100,1,1,1,1,
hoplite_0,9,100,stanford,265297,265297,31462,100,1,1,1,1,10
hoplite_0,9,100,wiki,11102,11102,4416,100,1,1,1,1,45
hoplite_1,9,100,add20,3587,3587,933,100,1,1,1,1,234
hoplite_1,9,100,amazon,292509,292509,37702,100,1,1,1,1,27
hoplite_1,9,100,bomhof1,8056,8056,4143,100,1,1,1,1,2954
hoplite_1,9,100,bomhof2,6732,6732,1758,100,1,1,1,1,542
hoplite_1,9,100,bomhof3,14770,14770,2872,100,1,1,1,1,321
hoplite_1,9,100,google,0,0,,100,1,1,1,1,
hoplite_1,9,100,hamm,25672,25672,8964,100,1,1,1,1,3456
hoplite_1,9,100,human,0,0,,100,1,1,1,1,
hoplite_1,9,100,roadnet,1485914,1485914,171947,100,1,1,1,1,6
hoplite_1,9,100,dac,1539,1539,671,100,1,1,1,1,417
hoplite_1,9,100,ram2k,14057,14057,8138,100,1,1,1,1,5967
hoplite_1,9,100,soc,0,0,,100,1,1,1,1,
hoplite_1,9,100,stanford,265297,265297,31460,100,1,1,1,1,9
hoplite_1,9,100,wiki,11102,11102,4131,100,1,1,1,1,60
hoplite_0,16,100,add20,4164,4164,730,100,1,1,1,1,84
hoplite_0,16,100,amazon,302132,302132,24562,100,1,1,1,1,57
hoplite_0,16,100,bomhof1,9187,9187,4236,100,1,1,1,1,2810
hoplite_0,16,100,bomhof2,7454,7454,1714,100,1,1,1,1,346
hoplite_0,16,100,bomhof3,14566,14566,2312,100,1,1,1,1,664
hoplite_0,16,100,google,741805,741805,51747,100,1,1,1,1,21
hoplite_0,16,100,hamm,27105,27105,9995,100,1,1,1,1,6584
hoplite_0,16,100,human,129370,129370,37372,100,1,1,1,1,282
hoplite_0,16,100,roadnet,1486518,1486518,102033,100,1,1,1,1,11
hoplite_0,16,100,dac,2120,2120,787,100,1,1,1,1,231
hoplite_0,16,100,ram2k,19628,19628,10270,100,1,1,1,1,8009
hoplite_0,16,100,soc,267004,267004,78448,100,1,1,1,1,560
hoplite_0,16,100,stanford,266473,266473,18267,100,1,1,1,1,15
hoplite_0,16,100,wiki,15488,15488,5719,100,1,1,1,1,110
hoplite_1,16,100,add20,4164,4164,681,100,1,1,1,1,66
hoplite_1,16,100,amazon,302132,302132,23590,100,1,1,1,1,60
hoplite_1,16,100,bomhof1,9187,9187,4206,100,1,1,1,1,2564
hoplite_1,16,100,bomhof2,7454,7454,1533,100,1,1,1,1,560
hoplite_1,16,100,bomhof3,14566,14566,2336,100,1,1,1,1,530
hoplite_1,16,100,google,741805,741805,51663,100,1,1,1,1,19
hoplite_1,16,100,hamm,27105,27105,9641,100,1,1,1,1,6566
hoplite_1,16,100,human,129370,129370,32771,100,1,1,1,1,212
hoplite_1,16,100,roadnet,1486518,1486518,102033,100,1,1,1,1,11
hoplite_1,16,100,dac,2120,2120,731,100,1,1,1,1,436
hoplite_1,16,100,ram2k,19628,19628,10281,100,1,1,1,1,8936
hoplite_1,16,100,soc,267004,267004,76218,100,1,1,1,1,421
hoplite_1,16,100,stanford,266473,266473,18281,100,1,1,1,1,15
hoplite_1,16,100,wiki,15488,15488,4982,100,1,1,1,1,89
hoplite_0,25,100,add20,4585,4585,1224,100,1,1,1,1,471
hoplite_0,25,100,amazon,309342,309342,21556,100,1,1,1,1,91
hoplite_0,25,100,bomhof1,11032,11032,5253,100,1,1,1,1,3864
hoplite_0,25,100,bomhof2,7862,7862,1607,100,1,1,1,1,575
hoplite_0,25,100,bomhof3,15045,15045,2530,100,1,1,1,1,1378
hoplite_0,25,100,google,0,0,,100,1,1,1,1,
hoplite_0,25,100,hamm,27918,27918,10384,100,1,1,1,1,6708
hoplite_0,25,100,human,0,0,,100,1,1,1,1,
hoplite_0,25,100,roadnet,1487083,1487083,67014,100,1,1,1,1,10
hoplite_0,25,100,dac,2247,2247,1010,100,1,1,1,1,878
hoplite_0,25,100,ram2k,16629,16629,7777,100,1,1,1,1,4024
hoplite_0,25,100,soc,0,0,,100,1,1,1,1,
hoplite_0,25,100,stanford,268343,268343,12181,100,1,1,1,1,27
hoplite_0,25,100,wiki,19695,19695,5637,100,1,1,1,1,165
hoplite_1,25,100,add20,4585,4585,1189,100,1,1,1,1,409
hoplite_1,25,100,amazon,309342,309342,18806,100,1,1,1,1,86
hoplite_1,25,100,bomhof1,11032,11032,5219,100,1,1,1,1,3359
hoplite_1,25,100,bomhof2,7862,7862,1620,100,1,1,1,1,900
hoplite_1,25,100,bomhof3,15045,15045,2478,100,1,1,1,1,1286
hoplite_1,25,100,google,0,0,,100,1,1,1,1,
hoplite_1,25,100,hamm,27918,27918,10100,100,1,1,1,1,6994
hoplite_1,25,100,human,0,0,,100,1,1,1,1,
hoplite_1,25,100,roadnet,1487083,1487083,67014,100,1,1,1,1,10
hoplite_1,25,100,dac,2247,2247,950,100,1,1,1,1,627
hoplite_1,25,100,ram2k,16629,16629,6869,100,1,1,1,1,2852
hoplite_1,25,100,soc,0,0,,100,1,1,1,1,
hoplite_1,25,100,stanford,268343,268343,12132,100,1,1,1,1,23
hoplite_1,25,100,wiki,19695,19695,4943,100,1,1,1,1,136
hoplite_0,36,100,add20,4680,4680,1256,100,1,1,1,1,544
hoplite_0,36,100,amazon,316215,316215,17281,100,1,1,1,1,123
hoplite_0,36,100,bomhof1,11624,11624,5372,100,1,1,1,1,2813
hoplite_0,36,100,bomhof2,8108,8108,1653,100,1,1,1,1,1044
hoplite_0,36,100,bomhof3,15214,15214,2404,100,1,1,1,1,1733
hoplite_0,36,100,google,0,0,,100,1,1,1,1,
hoplite_0,36,100,hamm,29085,29085,10596,100,1,1,1,1,7412
hoplite_0,36,100,human,0,0,,100,1,1,1,1,
hoplite_0,36,100,roadnet,1487607,1487607,47306,100,1,1,1,1,19
hoplite_0,36,100,dac,2330,2330,728,100,1,1,1,1,500
hoplite_0,36,100,ram2k,17561,17561,6867,100,1,1,1,1,3876
hoplite_0,36,100,soc,0,0,,100,1,1,1,1,
hoplite_0,36,100,stanford,270108,270108,8574,100,1,1,1,1,45
hoplite_0,36,100,wiki,23241,23241,5543,100,1,1,1,1,172
hoplite_1,36,100,add20,4680,4680,1177,100,1,1,1,1,636
hoplite_1,36,100,amazon,316215,316215,15683,100,1,1,1,1,146
hoplite_1,36,100,bomhof1,11624,11624,5289,100,1,1,1,1,3406
hoplite_1,36,100,bomhof2,8108,8108,1548,100,1,1,1,1,1019
hoplite_1,36,100,bomhof3,15214,15214,2348,100,1,1,1,1,1386
hoplite_1,36,100,google,0,0,,100,1,1,1,1,
hoplite_1,36,100,hamm,29085,29085,10289,100,1,1,1,1,6891
hoplite_1,36,100,human,0,0,,100,1,1,1,1,
hoplite_1,36,100,roadnet,1487607,1487607,47306,100,1,1,1,1,19
hoplite_1,36,100,dac,2330,2330,692,100,1,1,1,1,517
hoplite_1,36,100,ram2k,17561,17561,7041,100,1,1,1,1,2993
hoplite_1,36,100,soc,0,0,,100,1,1,1,1,
hoplite_1,36,100,stanford,270108,270108,8558,100,1,1,1,1,50
hoplite_1,36,100,wiki,23241,23241,5074,100,1,1,1,1,179
hoplite_0,49,100,add20,5171,5171,1454,100,1,1,1,1,705
hoplite_0,49,100,amazon,323200,323200,15356,100,1,1,1,1,183
hoplite_0,49,100,bomhof1,12446,12446,5530,100,1,1,1,1,3600
hoplite_0,49,100,bomhof2,8395,8395,1724,100,1,1,1,1,1351
hoplite_0,49,100,bomhof3,15342,15342,2377,100,1,1,1,1,1689
hoplite_0,49,100,google,0,0,,100,1,1,1,1,
hoplite_0,49,100,hamm,29772,29772,10995,100,1,1,1,1,7558
hoplite_0,49,100,human,0,0,,100,1,1,1,1,
